Pos,MP,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
SG,19.9,0.456,0.342,0.5379999999999999,0.8959999999999999,0.4,1.4,1.8,0.9,0.4,0.1,1.0,1.2,11.1
C,23.2,0.44299999999999995,0.0,0.445,0.807,1.6,3.3,4.9,1.2,0.4,1.4,0.9,3.1,5.9
SF,23.9,0.431,0.386,0.484,0.79,0.3,2.2,2.5,0.8,0.7,0.3,0.6,1.6,9.9
PF,14.2,0.37200000000000005,0.245,0.434,0.7,0.5,2.0,2.5,1.9,0.4,0.2,0.7,1.6,3.6
C,6.6,0.579,0.0,0.579,0.375,0.6,1.3,1.9,0.3,0.1,0.5,0.5,0.7,2.3
SF,16.0,0.46799999999999997,0.324,0.488,0.747,0.3,2.8,3.1,1.6,0.8,0.4,0.8,1.2,4.5
SG,19.9,0.37200000000000005,0.36,0.37799999999999995,0.89,0.3,1.7,2.0,1.1,0.5,0.1,1.0,1.5,9.3
C,3.8,0.6,0.0,0.6,1.0,0.2,0.6,0.8,0.0,0.0,0.0,0.6,0.8,1.6
C,21.4,0.563,0.0,0.5670000000000001,0.648,2.0,3.3,5.3,0.6,0.7,1.0,0.7,2.2,7.0
C,17.3,0.5329999999999999,0.0,0.5329999999999999,0.545,1.8,4.3,6.1,0.4,0.3,0.3,0.9,1.8,4.0
SF,19.0,0.445,0.174,0.47600000000000003,0.684,0.4,1.5,1.9,0.9,0.5,0.2,0.4,0.8,2.9
SF,27.2,0.48100000000000004,0.409,0.537,0.648,0.8,5.1,5.9,1.4,0.8,0.2,1.4,2.2,11.8
C,16.8,0.564,0.0,0.5660000000000001,0.59,1.5,2.4,3.9,0.9,0.3,1.9,1.1,2.3,7.0
SG,21.3,0.452,0.461,0.446,0.667,0.4,1.7,2.1,1.4,0.7,0.5,0.7,2.1,6.6
PG,19.9,0.34299999999999997,0.292,0.371,0.872,0.3,1.7,2.0,2.7,0.6,0.2,0.8,1.5,4.3
PF,33.4,0.499,0.33299999999999996,0.504,0.727,1.5,6.9,8.4,4.9,0.8,0.5,2.4,2.7,21.4
PG,4.4,0.318,0.2,0.353,0.615,0.1,0.5,0.6,0.7,0.3,0.1,0.5,0.3,1.5
SG,33.4,0.447,0.361,0.505,0.78,0.6,2.3,2.9,2.1,1.5,0.3,1.4,2.2,15.2
SG,22.2,0.496,0.311,0.608,0.611,1.1,2.5,3.6,0.7,0.8,0.6,0.5,1.9,4.8
PF,17.9,0.46799999999999997,0.384,0.564,0.727,0.8,2.7,3.5,1.4,0.4,0.4,0.8,2.6,5.1
